DATE,PRCP,SNOW,SNWD,TMAX,TMIN
2009-04-26,7.6,,1092.0,2.9,-10.8
2009-04-27,0.0,,965.0,7.0,-14.7
2009-04-28,0.0,,889.0,12.1,-7.0
2009-04-29,2.5,,838.0,10.9,-1.7
2009-04-30,0.0,,762.0,11.4,-1.5
2009-05-01,2.5,,711.0,11.3,-3.2
2009-05-02,17.8,,737.0,7.0,0.9
2009-05-03,5.1,,686.0,9.9,0.2
2009-05-04,0.0,,610.0,8.2,-0.6
2009-05-05,0.0,,533.0,12.6,0.7
2009-05-06,0.0,,457.0,14.4,1.5
2009-05-07,0.0,,330.0,12.0,3.5
2009-05-08,0.0,,279.0,8.3,-2.6
2009-05-09,0.0,,203.0,12.9,-4.5
2009-05-10,0.0,,127.0,12.2,-0.5
2009-05-11,2.5,,25.0,16.3,-0.4
2009-05-12,0.0,,0.0,14.2,0.1
2009-05-13,0.0,,0.0,10.0,-0.5
2009-05-14,0.0,,0.0,12.1,-2.2
2009-05-15,0.0,,0.0,12.5,1.9
2009-05-16,0.0,,0.0,16.2,-2.1
2009-05-17,0.0,,0.0,19.2,-0.5
2009-05-18,0.0,,0.0,21.3,2.0
2009-05-19,0.0,,0.0,16.7,3.5
2009-05-20,0.0,,0.0,16.1,2.3
2009-05-21,2.5,,0.0,15.6,2.5
2009-05-22,2.5,,0.0,14.2,2.3
2009-05-23,10.2,,0.0,8.8,4.9
2009-05-24,12.7,,0.0,11.9,4.1
2009-05-25,0.0,,0.0,11.7,2.4
2009-05-26,2.5,,0.0,12.9,0.1
2009-05-27,0.0,,0.0,13.4,0.1
2009-05-28,0.0,,0.0,15.0,1.4
2009-05-29,0.0,,0.0,15.2,1.5
2009-05-30,0.0,,0.0,15.7,2.3
2009-05-31,2.5,,0.0,14.7,2.1
2009-06-01,5.1,,0.0,13.8,2.5
2009-06-02,0.0,,0.0,14.3,1.8
2009-06-03,0.0,,0.0,17.2,1.3
2009-06-04,2.5,,0.0,15.9,1.6
2009-06-05,0.0,,0.0,14.9,0.4
2009-06-06,0.0,,0.0,11.8,-0.4
2009-06-07,0.0,,0.0,9.7,0.5
2009-06-08,0.0,,0.0,13.9,0.4
2009-06-09,2.5,,0.0,11.7,3.2
2009-06-10,2.5,,0.0,11.9,2.1
2009-06-11,5.1,,0.0,10.5,0.5
2009-06-12,2.5,,0.0,12.8,-0.3
2009-06-13,0.0,,0.0,13.3,2.0
2009-06-14,0.0,,0.0,12.3,0.7
2009-06-15,0.0,,0.0,13.5,-0.2
2009-06-16,2.5,,0.0,14.2,2.9
2009-06-17,12.7,,0.0,10.5,4.1
2009-06-18,2.5,,0.0,11.1,-0.3
2009-06-19,0.0,,0.0,16.6,-0.8
2009-06-20,10.2,,0.0,14.5,1.1
2009-06-21,2.5,,0.0,14.0,0.8
2009-06-22,0.0,,0.0,18.2,0.3
2009-06-23,0.0,,0.0,20.8,3.3
2009-06-24,0.0,,0.0,21.5,3.8
2009-06-25,0.0,,0.0,21.1,7.0
2009-06-26,5.1,,0.0,15.6,3.2
2009-06-27,0.0,,0.0,18.2,2.4
2009-06-28,0.0,,0.0,20.6,3.0
2009-06-29,0.0,,0.0,20.8,3.9
2009-06-30,0.0,,0.0,22.0,5.3
